Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	No hits counts	No hits percentage
SRR1795063_1_screen	8165	8.16	100016	96573	96.55	1	0.0	155	0.15	3160	3.16
SRR1795063_2_screen	8328	8.33	100016	94917	94.89999999999999	1	0.0	144	0.14	4820	4.82
SRR1795064_1_screen	8085	8.09	99991	96718	96.73	5	0.01	96	0.1	3089	3.09
SRR1795064_2_screen	8141	8.15	99991	95102	95.11	3	0.0	94	0.09	4669	4.67
SRR1795065_1_screen	8311	8.31	99990	96528	96.54	0	0.0	146	0.15	3209	3.21
SRR1795065_2_screen	8250	8.25	99990	94186	94.2	0	0.0	140	0.14	5549	5.55
SRR1795066_1_screen	7799	7.8	99998	96579	96.58	0	0.0	115	0.12	3209	3.21
SRR1795066_2_screen	7780	7.78	99998	92460	92.46	0	0.0	107	0.11	7309	7.31
SRR1795067_1_screen	8219	8.219999999999999	99949	96630	96.68	2	0.0	132	0.13	3048	3.05
SRR1795067_2_screen	8395	8.399999999999999	99949	95245	95.28999999999999	1	0.0	127	0.13	4447	4.45
SRR1795068_1_screen	7533	7.54	100007	96492	96.48	2	0.0	136	0.14	3310	3.31
SRR1795068_2_screen	7663	7.67	100007	94976	94.98	1	0.0	131	0.13	4820	4.82
SRR1795069_1_screen	7063	7.06	99993	96142	96.15	0	0.0	51	0.05	3739	3.74
SRR1795069_2_screen	7256	7.260000000000001	99993	95034	95.05000000000001	0	0.0	48	0.05	4839	4.84
SRR1795070_1_screen	6976	6.96	100080	96559	96.47999999999999	0	0.0	67	0.07	3392	3.39
SRR1795070_2_screen	7385	7.380000000000001	100080	95356	95.27000000000001	0	0.0	60	0.06	4593	4.59
SRR1795071_1_screen	7068	7.07	99924	96533	96.61	1	0.0	56	0.06	3297	3.3
SRR1795071_2_screen	7393	7.3999999999999995	99924	95744	95.82	1	0.0	51	0.05	4046	4.05
SRR1795072_1_screen	6976	6.99	99906	96296	96.39	0	0.0	66	0.07	3496	3.5
SRR1795072_2_screen	5924	5.9399999999999995	99906	92610	92.7	0	0.0	60	0.06	7143	7.15
SRR1795073_1_screen	6890	6.8999999999999995	99920	96538	96.62	0	0.0	69	0.07	3257	3.26
SRR1795073_2_screen	7185	7.1899999999999995	99920	95609	95.69	0	0.0	62	0.06	4166	4.17
SRR1795074_1_screen	6920	6.92	99997	96548	96.55	1	0.0	67	0.07	3339	3.34
SRR1795074_2_screen	7190	7.18	99997	95720	95.73	1	0.0	59	0.06	4159	4.16
SRR1795075_1_screen	7142	7.15	99991	96600	96.60000000000001	0	0.0	49	0.05	3289	3.29
SRR1795075_2_screen	7405	7.41	99991	95762	95.77000000000001	0	0.0	46	0.05	4099	4.1
SRR1795076_1_screen	7017	7.0200000000000005	100022	96474	96.45999999999998	2	0.0	95	0.09	3410	3.41
SRR1795076_2_screen	7358	7.35	100022	95515	95.48999999999998	1	0.0	84	0.08	4350	4.35
SRR1795077_1_screen	7264	7.26	100054	96800	96.75	0	0.0	23	0.02	3181	3.18
SRR1795077_2_screen	7153	7.14	100054	96087	96.03999999999999	0	0.0	22	0.02	3892	3.89
SRR1795078_1_screen	7410	7.4	100083	97440	97.37	0	0.0	12	0.01	2602	2.6
SRR1795078_2_screen	7260	7.25	100083	95441	95.35	0	0.0	11	0.01	4583	4.58
SRR1795079_1_screen	7467	7.47	99995	96983	96.99000000000001	0	0.0	18	0.02	2949	2.95
SRR1795079_2_screen	7241	7.24	99995	95746	95.75	1	0.0	16	0.02	4179	4.18
SRR1795080_1_screen	7228	7.23	99948	97112	97.16	2	0.0	21	0.02	2758	2.76
SRR1795080_2_screen	7305	7.3100000000000005	99948	95475	95.53000000000002	1	0.0	22	0.02	4407	4.41
SRR1795081_1_screen	7371	7.369999999999999	100002	97151	97.14999999999999	0	0.0	24	0.02	2780	2.78
SRR1795081_2_screen	7220	7.219999999999999	100002	95851	95.85000000000001	0	0.0	23	0.02	4080	4.08
SRR1795082_1_screen	7481	7.48	100070	96924	96.86000000000001	0	0.0	18	0.02	3082	3.08
SRR1795082_2_screen	7487	7.48	100070	96076	96.01	0	0.0	17	0.02	3932	3.93
SRR1795083_1_screen	7309	7.31	99949	97000	97.05	0	0.0	24	0.02	2888	2.89
SRR1795083_2_screen	7216	7.22	99949	95654	95.7	0	0.0	22	0.02	4227	4.23
SRR1795084_1_screen	7620	7.63	99915	96881	96.97	0	0.0	6	0.01	2977	2.98
SRR1795084_2_screen	7495	7.5	99915	95925	96.01	1	0.0	6	0.01	3926	3.93
SRR1795085_1_screen	8180	8.190000000000001	99921	96522	96.58999999999999	4	0.0	128	0.13	3147	3.15
SRR1795085_2_screen	8277	8.28	99921	95155	95.23	4	0.0	121	0.12	4536	4.54
SRR1795086_1_screen	7345	7.35	99877	96389	96.51	1	0.0	111	0.11	3315	3.32
SRR1795086_2_screen	7667	7.68	99877	94573	94.69	0	0.0	111	0.11	5123	5.13
SRR1795087_1_screen	8978	8.959999999999999	100069	96351	96.28999999999999	4	0.0	137	0.14	3442	3.44
SRR1795087_2_screen	8651	8.64	100069	91924	91.86	1	0.0	125	0.12	7845	7.84
SRR1795088_1_screen	8225	8.22	100059	96529	96.47999999999999	0	0.0	161	0.16	3251	3.25
SRR1795088_2_screen	8376	8.379999999999999	100059	94880	94.83	0	0.0	157	0.16	4892	4.89
SRR1795089_1_screen	8428	8.43	100013	96480	96.46000000000001	1	0.0	102	0.1	3310	3.31
SRR1795089_2_screen	8568	8.57	100013	95096	95.08	0	0.0	96	0.1	4670	4.67
SRR1795090_1_screen	8224	8.209999999999999	100023	96392	96.38000000000001	1	0.0	112	0.11	3410	3.41
SRR1795090_2_screen	8445	8.44	100023	94952	94.92	1	0.0	108	0.11	4821	4.82
SRR1795091_1_screen	7169	7.16	100081	96697	96.61	0	0.0	146	0.15	3192	3.19
SRR1795091_2_screen	7453	7.449999999999999	100081	94814	94.74	0	0.0	140	0.14	5064	5.06
SRR1795092_1_screen	7339	7.34	99898	96270	96.36	1	0.0	157	0.16	3416	3.42
SRR1795092_2_screen	7622	7.640000000000001	99898	94315	94.41	0	0.0	148	0.15	5364	5.37
SRR1795093_1_screen	7026	7.01	100021	96885	96.86	0	0.0	113	0.11	2970	2.97
SRR1795093_2_screen	7424	7.42	100021	96235	96.21999999999998	1	0.0	106	0.11	3610	3.61
SRR1795094_1_screen	6877	6.88	99943	96620	96.67	0	0.0	70	0.07	3208	3.21
SRR1795094_2_screen	7177	7.1899999999999995	99943	95899	95.95999999999998	0	0.0	62	0.06	3917	3.92
SRR1795095_1_screen	7056	7.0600000000000005	99952	96589	96.63000000000001	0	0.0	55	0.06	3278	3.28
SRR1795095_2_screen	7115	7.119999999999999	99952	95298	95.34	0	0.0	51	0.05	4557	4.56
SRR1795096_1_screen	6987	6.99	99975	96382	96.41000000000001	0	0.0	63	0.06	3489	3.49
SRR1795096_2_screen	7123	7.129999999999999	99975	95358	95.37999999999998	0	0.0	54	0.05	4508	4.51
SRR1795097_1_screen	7043	7.04	99985	96670	96.68	0	0.0	36	0.04	3239	3.24
SRR1795097_2_screen	7367	7.36	99985	95468	95.48	0	0.0	31	0.03	4409	4.41
SRR1795098_1_screen	6893	6.889999999999999	99982	96369	96.39	2	0.0	98	0.1	3459	3.46
SRR1795098_2_screen	7013	7.01	99982	95545	95.56	1	0.0	93	0.09	4269	4.27
SRR1795099_1_screen	7155	7.15	100091	96363	96.27	6	0.01	82	0.08	3573	3.57
SRR1795099_2_screen	7239	7.23	100091	95702	95.62	8	0.01	82	0.08	4203	4.2
SRR1795100_1_screen	6969	6.970000000000001	99892	96121	96.23	0	0.0	63	0.06	3666	3.67
SRR1795100_2_screen	7092	7.1	99892	95103	95.19999999999999	0	0.0	56	0.06	4674	4.68
SRR1795101_1_screen	7132	7.130000000000001	100014	97225	97.21	0	0.0	19	0.02	2740	2.74
SRR1795101_2_screen	7124	7.120000000000001	100014	96449	96.44000000000003	0	0.0	16	0.02	3510	3.51
SRR1795102_1_screen	7131	7.140000000000001	99939	96925	96.99	0	0.0	26	0.03	2958	2.96
SRR1795102_2_screen	7211	7.21	99939	96822	96.89	0	0.0	26	0.03	3058	3.06
SRR1795103_1_screen	7242	7.25	99982	96917	96.93	0	0.0	19	0.02	2989	2.99
SRR1795103_2_screen	7214	7.22	99982	95842	95.86	0	0.0	19	0.02	4059	4.06
SRR1795104_1_screen	7183	7.18	99967	96849	96.88000000000001	0	0.0	14	0.01	3058	3.06
SRR1795104_2_screen	7263	7.26	99967	95773	95.80000000000003	0	0.0	14	0.01	4138	4.14
SRR1795105_1_screen	7219	7.21	99952	97252	97.29	0	0.0	15	0.02	2648	2.65
SRR1795105_2_screen	7176	7.18	99952	95341	95.38999999999999	0	0.0	13	0.01	4547	4.55
